date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:48	441734/441734	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:47%20GMT	https://www.exportersindia.com/indian-suppliers/brackets.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/brackets.html	(from https://www.exportersindia.com/)
12:41:48	2536/2536	---M--	200	added ('OK')	image/jpeg	etag:%229e8-5fc6b272d43a3%22	https://img1.exportersindia.com/final_catg_image/78435-47-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/78435-47-home.jpg	(from https://www.exportersindia.com/)
12:41:50	515301/515301	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:48%20GMT	https://www.exportersindia.com/indian-manufacturers/door-window-fittings.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/door-window-fittings.html	(from https://www.exportersindia.com/)
12:41:50	461805/461805	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:49%20GMT	https://www.exportersindia.com/indian-suppliers/stainless-steel-door-hardware.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/stainless-steel-door-hardware.html	(from https://www.exportersindia.com/)
12:41:51	522785/522785	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:49%20GMT	https://www.exportersindia.com/indian-suppliers/door-lever-handles.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/door-lever-handles.html	(from https://www.exportersindia.com/)
12:41:52	393789/393789	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:51%20GMT	https://www.exportersindia.com/indian-suppliers/brass-handles.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/brass-handles.html	(from https://www.exportersindia.com/)
12:41:53	535804/535804	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:51%20GMT	https://www.exportersindia.com/indian-suppliers/door-hardware.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/door-hardware.html	(from https://www.exportersindia.com/)
12:41:53	2589/2589	---M--	200	added ('OK')	image/jpeg	etag:%22a1d-5fc6b2c78fefb%22	https://img1.exportersindia.com/final_catg_image/355178-748-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/355178-748-home.jpg	(from https://www.exportersindia.com/)
12:41:54	426706/426706	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:53%20GMT	https://www.exportersindia.com/indian-manufacturers/paints-and-varnishes.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/paints-and-varnishes.html	(from https://www.exportersindia.com/)
12:41:55	490852/490852	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:54%20GMT	https://www.exportersindia.com/indian-suppliers/paints.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/paints.html	(from https://www.exportersindia.com/)
12:41:56	520117/520117	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:55%20GMT	https://www.exportersindia.com/indian-suppliers/special-purpose-paints.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/special-purpose-paints.html	(from https://www.exportersindia.com/)
12:41:57	506400/506400	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:55%20GMT	https://www.exportersindia.com/indian-suppliers/primer-paint.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/primer-paint.html	(from https://www.exportersindia.com/)
12:41:58	448915/448915	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:56%20GMT	https://www.exportersindia.com/indian-suppliers/wall-putty.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/wall-putty.html	(from https://www.exportersindia.com/)
12:41:58	4556/4556	---M--	200	added ('OK')	image/jpeg	etag:%2211cc-5f20b8a16add6%22	https://img1.exportersindia.com/final_catg_image/355183-428-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/355183-428-home.jpg	(from https://www.exportersindia.com/)
12:41:59	514405/514405	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:58%20GMT	https://www.exportersindia.com/indian-suppliers/bathroom-sanitary-ware.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/bathroom-sanitary-ware.html	(from https://www.exportersindia.com/)
12:42:00	550760/550760	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:11:58%20GMT	https://www.exportersindia.com/indian-suppliers/water-closet.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/water-closet.html	(from https://www.exportersindia.com/)
12:42:01	477779/477779	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:00%20GMT	https://www.exportersindia.com/indian-suppliers/pedestal-wash-basins.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/pedestal-wash-basins.html	(from https://www.exportersindia.com/)
